 Produto interno bruto per capita - 2010 a 2013, referęncia 2010 - Săo Paulo
PIB per capita por Município
Período:2013
"Município";"PIB_per_capita"
"350010 ADAMANTINA";22168,60
"350020 ADOLFO";19727,55
"350030 AGUAI";19361,12
"350040 AGUAS DA PRATA";15175,01
"350050 AGUAS DE LINDOIA";20375,06
"350055 AGUAS DE SANTA BARBARA";19384,95
"350060 AGUAS DE SAO PEDRO";32297,32
"350070 AGUDOS";51928,14
"350075 ALAMBARI";12677,37
"350080 ALFREDO MARCONDES";16095,95
"350090 ALTAIR";23834,31
"350100 ALTINOPOLIS";20768,88
"350110 ALTO ALEGRE";17363,72
"350115 ALUMINIO";87738,91
"350120 ALVARES FLORENCE";24688,89
"350130 ALVARES MACHADO";14932,22
"350140 ALVARO DE CARVALHO";7365,38
"350150 ALVINLANDIA";12384,91
"350160 AMERICANA";44046,60
"350170 AMERICO BRASILIENSE";17043,46
"350180 AMERICO DE CAMPOS";11728,86
"350190 AMPARO";45868,35
"350200 ANALANDIA";28953,12
"350210 ANDRADINA";34575,77
"350220 ANGATUBA";28674,19
"350230 ANHEMBI";17558,27
"350240 ANHUMAS";17590,04
"350250 APARECIDA";20746,15
"350260 APARECIDA D'OESTE";14351,40
"350270 APIAI";25655,10
"350275 ARACARIGUAMA";72511,80
"350280 ARACATUBA";29448,51
"350290 ARACOIABA DA SERRA";16012,38
"350300 ARAMINA";22269,59
"350310 ARANDU";11209,78
"350315 ARAPEI";8860,99
"350320 ARARAQUARA";33394,40
"350330 ARARAS";33567,59
"350335 ARCO-IRIS";16534,31
"350340 AREALVA";16795,41
"350350 AREIAS";9034,57
"350360 AREIOPOLIS";10024,21
"350370 ARIRANHA";62556,65
"350380 ARTUR NOGUEIRA";16494,41
"350390 ARUJA";35344,96
"350395 ASPASIA";11055,89
"350400 ASSIS";24906,17
"350410 ATIBAIA";34934,38
"350420 AURIFLAMA";15275,37
"350430 AVAI";42814,38
"350440 AVANHANDAVA";14580,34
"350450 AVARE";21385,31
"350460 BADY BASSITT";16279,87
"350470 BALBINOS";7548,00
"350480 BALSAMO";17201,04
"350490 BANANAL";13829,29
"350500 BARAO DE ANTONINA";16460,89
"350510 BARBOSA";13023,24
"350520 BARIRI";24914,02
"350530 BARRA BONITA";28772,37
"350535 BARRA DO CHAPEU";8362,22
"350540 BARRA DO TURVO";8698,61
"350550 BARRETOS";28418,69
"350560 BARRINHA";12021,21
"350570 BARUERI";171831,09
"350580 BASTOS";33014,13
"350590 BATATAIS";23236,62
"350600 BAURU";28976,18
"350610 BEBEDOURO";30090,36
"350620 BENTO DE ABREU";35196,47
"350630 BERNARDINO DE CAMPOS";14935,85
"350635 BERTIOGA";28303,03
"350640 BILAC";18379,83
"350650 BIRIGUI";22301,28
"350660 BIRITIBA-MIRIM";18663,68
"350670 BOA ESPERANCA DO SUL";14585,71
"350680 BOCAINA";29619,61
"350690 BOFETE";15899,58
"350700 BOITUVA";46684,41
"350710 BOM JESUS DOS PERDOES";20005,35
"350715 BOM SUCESSO DE ITARARE";13408,41
"350720 BORA";82705,08
"350730 BORACEIA";30521,77
"350740 BORBOREMA";17921,02
"350745 BOREBI";17667,10
"350750 BOTUCATU";27810,83
"350760 BRAGANCA PAULISTA";27471,47
"350770 BRAUNA";13000,44
"350775 BREJO ALEGRE";66123,98
"350780 BRODOWSKI";19354,36
"350790 BROTAS";22964,88
"350800 BURI";14710,00
"350810 BURITAMA";21008,73
"350820 BURITIZAL";58661,06
"350830 CABRALIA PAULISTA";18223,38
"350840 CABREUVA";79705,27
"350850 CACAPAVA";37850,73
"350860 CACHOEIRA PAULISTA";14637,47
"350870 CACONDE";10543,65
"350880 CAFELANDIA";18481,49
"350890 CAIABU";11503,12
"350900 CAIEIRAS";30206,05
"350910 CAIUA";11943,04
"350920 CAJAMAR";125437,27
"350925 CAJATI";32547,64
"350930 CAJOBI";11054,34
