 Taxa de analfabetismo - São Paulo
Taxa de analfabetismo por Município
Período:2010
"Município";"Taxa_de_analfabetismo"
"350010 ADAMANTINA";5,8
"350020 ADOLFO";7,8
"350030 AGUAI";8,3
"350040 AGUAS DA PRATA";5,3
"350050 AGUAS DE LINDOIA";5,9
"350055 AGUAS DE SANTA BARBARA";5,8
"350060 AGUAS DE SAO PEDRO";1,5
"350070 AGUDOS";5,2
"350075 ALAMBARI";5,6
"350080 ALFREDO MARCONDES";10,5
"350090 ALTAIR";9,5
"350100 ALTINOPOLIS";6,0
"350110 ALTO ALEGRE";8,0
"350115 ALUMINIO";4,6
"350120 ALVARES FLORENCE";8,1
"350130 ALVARES MACHADO";6,2
"350140 ALVARO DE CARVALHO";13,7
"350150 ALVINLANDIA";9,6
"350160 AMERICANA";2,6
"350170 AMERICO BRASILIENSE";6,9
"350180 AMERICO DE CAMPOS";8,0
"350190 AMPARO";4,5
"350200 ANALANDIA";6,2
"350210 ANDRADINA";6,0
"350220 ANGATUBA";5,8
"350230 ANHEMBI";6,9
"350240 ANHUMAS";6,1
"350250 APARECIDA";3,0
"350260 APARECIDA D'OESTE";14,1
"350270 APIAI";7,6
"350275 ARACARIGUAMA";6,3
"350280 ARACATUBA";3,7
"350290 ARACOIABA DA SERRA";5,1
"350300 ARAMINA";5,6
"350310 ARANDU";7,8
"350315 ARAPEI";8,6
"350320 ARARAQUARA";3,3
"350330 ARARAS";4,4
"350335 ARCO-IRIS";15,3
"350340 AREALVA";6,8
"350350 AREIAS";7,1
"350360 AREIOPOLIS";11,5
"350370 ARIRANHA";7,9
"350380 ARTUR NOGUEIRA";5,9
"350390 ARUJA";4,7
"350395 ASPASIA";11,6
"350400 ASSIS";3,8
"350410 ATIBAIA";4,9
"350420 AURIFLAMA";7,5
"350430 AVAI";7,2
"350440 AVANHANDAVA";7,7
"350450 AVARE";4,6
"350460 BADY BASSITT";3,6
"350470 BALBINOS";11,2
"350480 BALSAMO";6,3
"350490 BANANAL";7,9
"350500 BARAO DE ANTONINA";9,3
"350510 BARBOSA";9,0
"350520 BARIRI";5,7
"350530 BARRA BONITA";4,8
"350535 BARRA DO CHAPEU";12,2
"350540 BARRA DO TURVO";17,3
"350550 BARRETOS";4,3
"350560 BARRINHA";6,8
"350570 BARUERI";4,1
"350580 BASTOS";6,6
"350590 BATATAIS";4,4
"350600 BAURU";3,0
"350610 BEBEDOURO";4,6
"350620 BENTO DE ABREU";7,2
"350630 BERNARDINO DE CAMPOS";5,2
"350635 BERTIOGA";5,6
"350640 BILAC";7,6
"350650 BIRIGUI";4,5
"350660 BIRITIBA-MIRIM";8,6
"350670 BOA ESPERANCA DO SUL";9,3
"350680 BOCAINA";5,9
"350690 BOFETE";7,8
"350700 BOITUVA";5,5
"350710 BOM JESUS DOS PERDOES";6,2
"350715 BOM SUCESSO DE ITARARE";12,1
"350720 BORA";9,0
"350730 BORACEIA";6,7
"350740 BORBOREMA";8,7
"350745 BOREBI";8,2
"350750 BOTUCATU";4,0
"350760 BRAGANCA PAULISTA";4,4
"350770 BRAUNA";8,5
"350775 BREJO ALEGRE";11,1
"350780 BRODOWSKI";4,3
"350790 BROTAS";6,0
"350800 BURI";9,7
"350810 BURITAMA";8,4
"350820 BURITIZAL";4,4
"350830 CABRALIA PAULISTA";10,5
"350840 CABREUVA";6,0
"350850 CACAPAVA";3,5
"350860 CACHOEIRA PAULISTA";3,8
"350870 CACONDE";7,1
"350880 CAFELANDIA";6,4
"350890 CAIABU";12,9
"350900 CAIEIRAS";3,8
"350910 CAIUA";11,2
"350920 CAJAMAR";4,9
"350925 CAJATI";9,3
"350930 CAJOBI";8,7
"350940 CAJURU";5,5
"350945 CAMPINA DO MONTE ALEGRE";8,2
"350950 CAMPINAS";3,2
"350960 CAMPO LIMPO PAULISTA";4,2
"350970 CAMPOS DO JORDAO";3,8
"350980 CAMPOS NOVOS PAULISTA";9,5
"350990 CANANEIA";7,5
"350995 CANAS";5,9
"351000 CANDIDO MOTA";5,4
"351010 CANDIDO RODRIGUES";9,0
"351015 CANITAR";8,9
"351020 CAPAO BONITO";7,7
"351030 CAPELA DO ALTO";6,1
"351040 CAPIVARI";4,3
"351050 CARAGUATATUBA";4,6
"351060 CARAPICUIBA";4,5
"351070 CARDOSO";9,7
"351080 CASA BRANCA";5,4
"351090 CASSIA DOS COQUEIROS";8,2
"351100 CASTILHO";8,6
"351110 CATANDUVA";4,8
"351120 CATIGUA";9,5
"351130 CEDRAL";5,5
"351140 CERQUEIRA CESAR";6,1
"351150 CERQUILHO";3,8
"351160 CESARIO LANGE";4,8
"351170 CHARQUEADA";6,9
"351190 CLEMENTINA";8,1
"351200 COLINA";6,0
"351210 COLOMBIA";9,5
"351220 CONCHAL";10,4
"351230 CONCHAS";6,0
"351240 CORDEIROPOLIS";4,1
"351250 COROADOS";5,3
"351260 CORONEL MACEDO";12,4
"351270 CORUMBATAI";7,5
"351280 COSMOPOLIS";4,9
"351290 COSMORAMA";8,3
"351300 COTIA";4,2
"351310 CRAVINHOS";5,4
"351320 CRISTAIS PAULISTA";7,8
"351330 CRUZALIA";7,0
"351340 CRUZEIRO";2,7
"351350 CUBATAO";5,6
"351360 CUNHA";9,7
"351370 DESCALVADO";4,9
"351380 DIADEMA";4,1
"351385 DIRCE REIS";12,7
"351390 DIVINOLANDIA";6,0
"351400 DOBRADA";13,7
"351410 DOIS CORREGOS";7,4
"351420 DOLCINOPOLIS";11,9
"351430 DOURADO";6,9
"351440 DRACENA";5,8
"351450 DUARTINA";6,4
"351460 DUMONT";8,0
"351470 ECHAPORA";10,6
"351480 ELDORADO";11,1
"351490 ELIAS FAUSTO";7,7
"351492 ELISIARIO";11,0
"351495 EMBAUBA";9,2
"351500 EMBU DAS ARTES";4,8
"351510 EMBU-GUACU";5,7
"351512 EMILIANOPOLIS";11,4
"351515 ENGENHEIRO COELHO";8,8
"351518 ESPIRITO SANTO DO PINHAL";5,0
"351519 ESPIRITO SANTO DO TURVO";9,4
"351520 ESTRELA D'OESTE";8,8
"351530 ESTRELA DO NORTE";9,5
"351535 EUCLIDES DA CUNHA PAULISTA";13,7
"351540 FARTURA";6,1
"351550 FERNANDOPOLIS";5,6
